id,uniprot,gene
tr|C5WMY2|C5WMY2_SORBI,C5WMY2,SORBI_01g009880
tr|C5YBK6|C5YBK6_SORBI,C5YBK6,SORBI_06g000580
tr|C5YZ51|C5YZ51_SORBI,C5YZ51,SORBI_09g002320
tr|C5Y1X7|C5Y1X7_SORBI,C5Y1X7,SORBI_05g009360
tr|C5X3Z2|C5X3Z2_SORBI,C5X3Z2,SORBI_02g041050
tr|C5X5T1|C5X5T1_SORBI,C5X5T1,SORBI_02g011210
tr|C5WY51|C5WY51_SORBI,C5WY51,SORBI_01g005770
tr|C5XZF6|C5XZF6_SORBI,C5XZF6,SORBI_04g009280
tr|C5Y7Z2|C5Y7Z2_SORBI,C5Y7Z2,SORBI_05g026710
tr|C5YGL1|C5YGL1_SORBI,C5YGL1,SORBI_06g029490
tr|C5WVM6|C5WVM6_SORBI,C5WVM6,SORBI_01g031950
tr|C5WNU8|C5WNU8_SORBI,C5WNU8,SORBI_01g011040
tr|C5XGD7|C5XGD7_SORBI,C5XGD7,SORBI_03g044330
tr|C5X4Y7|C5X4Y7_SORBI,C5X4Y7,SORBI_02g042550
tr|C5XMM0|C5XMM0_SORBI,C5XMM0,SORBI_03g003550
tr|C5Y8Y2|C5Y8Y2_SORBI,C5Y8Y2,SORBI_06g030270
tr|C5YWZ7|C5YWZ7_SORBI,C5YWZ7,SORBI_09g030540
tr|C5YCX2|C5YCX2_SORBI,C5YCX2,SORBI_06g023630
tr|C5XT21|C5XT21_SORBI,C5XT21,SORBI_04g001850
tr|C5YTD9|C5YTD9_SORBI,C5YTD9,SORBI_08g023310
tr|C5YZ78|C5YZ78_SORBI,C5YZ78,SORBI_09g022370
tr|C5XHF1|C5XHF1_SORBI,C5XHF1,SORBI_03g011590
tr|C5YXF3|C5YXF3_SORBI,C5YXF3,SORBI_09g019100
tr|C5XM19|C5XM19_SORBI,C5XM19,SORBI_03g003390
tr|C5YX05|C5YX05_SORBI,C5YX05,SORBI_09g030620
tr|C5XYZ9|C5XYZ9_SORBI,C5XYZ9,SORBI_04g008720
tr|C5Z2S2|C5Z2S2_SORBI,C5Z2S2,SORBI_10g001110
tr|C5Y5H1|C5Y5H1_SORBI,C5Y5H1,SORBI_05g023240
tr|C5YFP6|C5YFP6_SORBI,C5YFP6,SORBI_06g028280
tr|C5XWW9|C5XWW9_SORBI,C5XWW9,SORBI_04g005620
tr|C5Z2K4|C5Z2K4_SORBI,C5Z2K4,SORBI_10g030940
tr|C5XPG8|C5XPG8_SORBI,C5XPG8,SORBI_03g026350
tr|C5WPC5|C5WPC5_SORBI,C5WPC5,SORBI_01g039260
tr|C5XVV7|C5XVV7_SORBI,C5XVV7,SORBI_04g037130
tr|C5XUZ7|C5XUZ7_SORBI,C5XUZ7,SORBI_04g023220
tr|C5Z146|C5Z146_SORBI,C5Z146,SORBI_09g005220
tr|C5Y721|C5Y721_SORBI,C5Y721,SORBI_05g025690
tr|C5Y8K8|C5Y8K8_SORBI,C5Y8K8,SORBI_05g027690
tr|C5YXK9|C5YXK9_SORBI,C5YXK9,SORBI_09g019510
tr|C5XW88|C5XW88_SORBI,C5XW88,SORBI_04g005160
tr|C5WXJ1|C5WXJ1_SORBI,C5WXJ1,SORBI_01g033060
tr|C5XTH3|C5XTH3_SORBI,C5XTH3,SORBI_04g034520
tr|C5X0H7|C5X0H7_SORBI,C5X0H7,SORBI_01g021020
tr|C5Y5T0|C5Y5T0_SORBI,C5Y5T0,SORBI_05g023520
tr|C5X4B4|C5X4B4_SORBI,C5X4B4,SORBI_02g009740
tr|C5YTU1|C5YTU1_SORBI,C5YTU1,SORBI_08g007310
tr|C5WP50|C5WP50_SORBI,C5WP50,SORBI_01g026405
tr|C5YH12|C5YH12_SORBI,C5YH12,SORBI_07g003860
tr|C5XV51|C5XV51_SORBI,C5XV51,SORBI_04g036440
tr|C5Y1C0|C5Y1C0_SORBI,C5Y1C0,SORBI_04g032250
tr|C5X1L7|C5X1L7_SORBI,C5X1L7,SORBI_01g021960
tr|C5Y7W1|C5Y7W1_SORBI,C5Y7W1,SORBI_05g026460
tr|C5Y093|C5Y093_SORBI,C5Y093,SORBI_04g030310
tr|C5YI02|C5YI02_SORBI,C5YI02,SORBI_07g005160
tr|C5WUW3|C5WUW3_SORBI,C5WUW3,SORBI_01g044790
tr|C5WSJ7|C5WSJ7_SORBI,C5WSJ7,SORBI_01g029640
tr|C5WN99|C5WN99_SORBI,C5WN99,SORBI_01g024390
tr|C5WUG0|C5WUG0_SORBI,C5WUG0,SORBI_01g030680
tr|C5YT23|C5YT23_SORBI,C5YT23,SORBI_08g023070
tr|C5XED0|C5XED0_SORBI,C5XED0,SORBI_03g028500
tr|C5Y8Z9|C5Y8Z9_SORBI,C5Y8Z9,SORBI_06g030400
tr|C5YHC9|C5YHC9_SORBI,C5YHC9,SORBI_07g004040
tr|C5WPC3|C5WPC3_SORBI,C5WPC3,SORBI_01g039240
tr|C5XB21|C5XB21_SORBI,C5XB21,SORBI_02g004500
tr|C5X110|C5X110_SORBI,C5X110,SORBI_01g049510
tr|C5XI80|C5XI80_SORBI,C5XI80,SORBI_03g032660
tr|C5XUC3|C5XUC3_SORBI,C5XUC3,SORBI_04g035550
tr|C5YZD6|C5YZD6_SORBI,C5YZD6,SORBI_09g022970
tr|C5WPI6|C5WPI6_SORBI,C5WPI6,SORBI_01g011580
tr|C5XLK0|C5XLK0_SORBI,C5XLK0,SORBI_03g035970
tr|C5X402|C5X402_SORBI,C5X402,SORBI_02g041160
tr|C5XDH2|C5XDH2_SORBI,C5XDH2,SORBI_02g006860
tr|C5XB79|C5XB79_SORBI,C5XB79,SORBI_02g004930
tr|C5YNN0|C5YNN0_SORBI,C5YNN0,SORBI_08g014340
tr|C5Z793|C5Z793_SORBI,C5Z793,SORBI_10g026230
tr|C5WW82|C5WW82_SORBI,C5WW82,SORBI_01g017270
tr|C5WYT6|C5WYT6_SORBI,C5WYT6,SORBI_01g047360
tr|C5YX36|C5YX36_SORBI,C5YX36,SORBI_09g030910
tr|C5YXI8|C5YXI8_SORBI,C5YXI8,SORBI_09g019350
tr|C5WYJ6|C5WYJ6_SORBI,C5WYJ6,SORBI_01g033830
tr|C5XW31|C5XW31_SORBI,C5XW31,SORBI_04g004640
tr|C5Y9G6|C5Y9G6_SORBI,C5Y9G6,SORBI_06g031110
tr|C5XSV1|C5XSV1_SORBI,C5XSV1,SORBI_04g034160
tr|C5XQP4|C5XQP4_SORBI,C5XQP4,SORBI_03g006650
tr|C5WT78|C5WT78_SORBI,C5WT78,SORBI_01g015000
tr|C5Z7B5|C5Z7B5_SORBI,C5Z7B5,SORBI_10g026440
tr|C5XYY7|C5XYY7_SORBI,C5XYY7,SORBI_04g008610
tr|C5YEF5|C5YEF5_SORBI,C5YEF5,SORBI_06g026070
tr|C5YK68|C5YK68_SORBI,C5YK68,SORBI_07g014860
tr|C5Z1U6|C5Z1U6_SORBI,C5Z1U6,SORBI_10g030040
tr|C5YH07|C5YH07_SORBI,C5YH07,SORBI_07g003820
tr|C5XX08|C5XX08_SORBI,C5XX08,SORBI_04g005960
tr|C5WUK1|C5WUK1_SORBI,C5WUK1,SORBI_01g031030
tr|C5XSL6|C5XSL6_SORBI,C5XSL6,SORBI_04g020630
tr|C5Z2Q0|C5Z2Q0_SORBI,C5Z2Q0,SORBI_10g000940
tr|C5X514|C5X514_SORBI,C5X514,SORBI_02g010500
tr|C5YPQ1|C5YPQ1_SORBI,C5YPQ1,SORBI_08g000260
tr|C5WM79|C5WM79_SORBI,C5WM79,SORBI_01g022370
tr|C5XA88|C5XA88_SORBI,C5XA88,SORBI_02g003560
tr|C5YER4|C5YER4_SORBI,C5YER4,SORBI_06g013750
tr|C5YWA7|C5YWA7_SORBI,C5YWA7,SORBI_09g016470
tr|C5Y0F6|C5Y0F6_SORBI,C5Y0F6,SORBI_04g030980
tr|C5XRB5|C5XRB5_SORBI,C5XRB5,SORBI_03g041370
tr|C5XNL6|C5XNL6_SORBI,C5XNL6,SORBI_03g025350
tr|C5XSA5|C5XSA5_SORBI,C5XSA5,SORBI_04g001130
tr|C5XCZ5|C5XCZ5_SORBI,C5XCZ5,SORBI_02g025180
tr|C5WVY5|C5WVY5_SORBI,C5WVY5,SORBI_01g045772
tr|C5YE15|C5YE15_SORBI,C5YE15,SORBI_06g025560
tr|C5XCX9|C5XCX9_SORBI,C5XCX9,SORBI_02g025070
tr|C5WTL2|C5WTL2_SORBI,C5WTL2,SORBI_01g030430
tr|C5XPG5|C5XPG5_SORBI,C5XPG5,SORBI_03g026330
tr|C5XYF2|C5XYF2_SORBI,C5XYF2,SORBI_04g007860
tr|C5YL07|C5YL07_SORBI,C5YL07,SORBI_07g020650
tr|C5YPY1|C5YPY1_SORBI,C5YPY1,SORBI_08g018670
tr|C5WYP9|C5WYP9_SORBI,C5WYP9,SORBI_01g034370
tr|C5YPS8|C5YPS8_SORBI,C5YPS8,SORBI_08g018180
tr|C5YGA6|C5YGA6_SORBI,C5YGA6,SORBI_06g016230
tr|C5XLV5|C5XLV5_SORBI,C5XLV5,SORBI_03g002880
tr|C5Y0L9|C5Y0L9_SORBI,C5Y0L9,SORBI_04g013160
tr|C5XI87|C5XI87_SORBI,C5XI87,SORBI_03g032720
tr|C5XXG6|C5XXG6_SORBI,C5XXG6,SORBI_04g006520
tr|C5Y8I7|C5Y8I7_SORBI,C5Y8I7,SORBI_05g027510
tr|C5X123|C5X123_SORBI,C5X123,SORBI_01g049640
tr|C5WNU9|C5WNU9_SORBI,C5WNU9,SORBI_01g011050
tr|C5Y9W6|C5Y9W6_SORBI,C5Y9W6,SORBI_06g019110
tr|C5X8T2|C5X8T2_SORBI,C5X8T2,SORBI_02g002260
tr|C5XF93|C5XF93_SORBI,C5XF93,SORBI_03g029780
tr|C5Z861|C5Z861_SORBI,C5Z861,SORBI_10g027460
tr|C5YZ33|C5YZ33_SORBI,C5YZ33,SORBI_09g002180
tr|C5YN28|C5YN28_SORBI,C5YN28,SORBI_07g003060
tr|C5XPW4|C5XPW4_SORBI,C5XPW4,SORBI_03g040180
tr|C5WT92|C5WT92_SORBI,C5WT92,SORBI_01g015110
tr|C5Z5K8|C5Z5K8_SORBI,C5Z5K8,SORBI_10g023370
tr|C5WZE8|C5WZE8_SORBI,C5WZE8,SORBI_01g019970
Contaminant_K1C10_HUMAN,,
tr|C5XYZ7|C5XYZ7_SORBI,C5XYZ7,SORBI_04g008700
tr|C5Z3N8|C5Z3N8_SORBI,C5Z3N8,SORBI_10g020830
tr|C5XLB0|C5XLB0_SORBI,C5XLB0,SORBI_03g018040
tr|C5Y1R1|C5Y1R1_SORBI,C5Y1R1,SORBI_05g008690
tr|C5Y1S2|C5Y1S2_SORBI,C5Y1S2,SORBI_05g008760
tr|C5X548|C5X548_SORBI,C5X548,SORBI_02g010760
tr|C5YSF0|C5YSF0_SORBI,C5YSF0,SORBI_08g022000
tr|C5XLZ0|C5XLZ0_SORBI,C5XLZ0,SORBI_03g003140
tr|C5XMK0|C5XMK0_SORBI,C5XMK0,SORBI_03g037550
tr|C5XAX2|C5XAX2_SORBI,C5XAX2,SORBI_02g035960
tr|C5X5R2|C5X5R2_SORBI,C5X5R2,SORBI_02g043380
tr|C5YYX0|C5YYX0_SORBI,C5YYX0,SORBI_09g001670
tr|C5WQU7|C5WQU7_SORBI,C5WQU7,SORBI_01g040750
tr|C5YUI9|C5YUI9_SORBI,C5YUI9,SORBI_09g026810
tr|C5WSD1|C5WSD1_SORBI,C5WSD1,SORBI_01g029120
tr|C5XR30|C5XR30_SORBI,C5XR30,SORBI_03g028050
tr|C5Y397|C5Y397_SORBI,C5Y397,SORBI_05g019600
tr|C5XRQ7|C5XRQ7_SORBI,C5XRQ7,SORBI_04g019020
tr|C5XXG3|C5XXG3_SORBI,C5XXG3,SORBI_04g006490
tr|C6JSG7|C6JSG7_SORBI,C6JSG7,SORBI_0598s002020
tr|C5XWE5|C5XWE5_SORBI,C5XWE5,SORBI_04g024440
tr|C5WU13|C5WU13_SORBI,C5WU13,SORBI_01g002480
tr|C5XVY5|C5XVY5_SORBI,C5XVY5,SORBI_04g037430
tr|C5X4U5|C5X4U5_SORBI,C5X4U5,SORBI_02g042150
tr|C5X0R5|C5X0R5_SORBI,C5X0R5,SORBI_01g035960
tr|C5YGD2|C5YGD2_SORBI,C5YGD2,SORBI_06g016440
tr|C5Z1N2|C5Z1N2_SORBI,C5Z1N2,SORBI_10g012160
tr|C5WXV3|C5WXV3_SORBI,C5WXV3,SORBI_01g046830
tr|C5XME0|C5XME0_SORBI,C5XME0,SORBI_03g036980
tr|C5XKV3|C5XKV3_SORBI,C5XKV3,SORBI_03g035370
tr|C5WVL6|C5WVL6_SORBI,C5WVL6,SORBI_01g031870
tr|C5XQL5|C5XQL5_SORBI,C5XQL5,SORBI_03g040840
tr|C5XWZ7|C5XWZ7_SORBI,C5XWZ7,SORBI_04g005870
tr|C5YIX7|C5YIX7_SORBI,C5YIX7,SORBI_07g006340
tr|C5XL56|C5XL56_SORBI,C5XL56,SORBI_03g002270
tr|C5Y9H8|C5Y9H8_SORBI,C5Y9H8,SORBI_06g031220
tr|C5XQG3|C5XQG3_SORBI,C5XQG3,SORBI_03g040330
tr|C5WNQ6|C5WNQ6_SORBI,C5WNQ6,SORBI_01g010590
tr|C5WRN5|C5WRN5_SORBI,C5WRN5,SORBI_01g041770
tr|C5X792|C5X792_SORBI,C5X792,SORBI_02g000950
tr|C5Y736|C5Y736_SORBI,C5Y736,SORBI_05g006160
tr|C5XBC7|C5XBC7_SORBI,C5XBC7,SORBI_02g023395
tr|C5X5A3|C5X5A3_SORBI,C5X5A3,SORBI_02g029480
tr|C5Z6E9|C5Z6E9_SORBI,C5Z6E9,SORBI_10g006940
tr|C5WP07|C5WP07_SORBI,C5WP07,SORBI_01g025920
tr|C5XW45|C5XW45_SORBI,C5XW45,SORBI_04g004750
tr|C5X5W2|C5X5W2_SORBI,C5X5W2,SORBI_02g011470
tr|C5XLJ2|C5XLJ2_SORBI,C5XLJ2,SORBI_03g035900
tr|C5XF05|C5XF05_SORBI,C5XF05,SORBI_03g008720
tr|C5YBU8|C5YBU8_SORBI,C5YBU8,SORBI_06g021840
tr|C5XMZ5|C5XMZ5_SORBI,C5XMZ5,SORBI_03g024830
tr|C5YAZ4|C5YAZ4_SORBI,C5YAZ4,SORBI_06g033570
tr|C5YH44|C5YH44_SORBI,C5YH44,SORBI_07g024980
tr|C5X8L4|C5X8L4_SORBI,C5X8L4,SORBI_02g033430
tr|C5Z1T5|C5Z1T5_SORBI,C5Z1T5,SORBI_10g029950
tr|C5X2H1|C5X2H1_SORBI,C5X2H1,SORBI_02g039630
tr|C5WSL1|C5WSL1_SORBI,C5WSL1,SORBI_01g042270
tr|C5WQY7|C5WQY7_SORBI,C5WQY7,SORBI_01g041140
tr|C5WRC1|C5WRC1_SORBI,C5WRC1,SORBI_01g028320
tr|C5WV47|C5WV47_SORBI,C5WV47,SORBI_01g003500
tr|C5XYW7|C5XYW7_SORBI,C5XYW7,SORBI_04g028290
tr|C5XX52|C5XX52_SORBI,C5XX52,SORBI_04g025120
tr|C5XCQ9|C5XCQ9_SORBI,C5XCQ9,SORBI_02g006170
tr|C5XXA7|C5XXA7_SORBI,C5XXA7,SORBI_04g025650
tr|C5XHG5|C5XHG5_SORBI,C5XHG5,SORBI_03g031880
tr|C5YY31|C5YY31_SORBI,C5YY31,SORBI_09g000750
tr|C5WNT6|C5WNT6_SORBI,C5WNT6,SORBI_01g010910
tr|C5XS07|C5XS07_SORBI,C5XS07,SORBI_04g033160
tr|C5WMN2|C5WMN2_SORBI,C5WMN2,SORBI_01g049880
tr|C5YYX1|C5YYX1_SORBI,C5YYX1,SORBI_09g001680
tr|C5XQM4|C5XQM4_SORBI,C5XQM4,SORBI_03g040880
tr|C5XGI1|C5XGI1_SORBI,C5XGI1,SORBI_03g010330
tr|C5X8J0|C5X8J0_SORBI,C5X8J0,SORBI_02g033210
tr|C5WWS3|C5WWS3_SORBI,C5WWS3,SORBI_01g045870
tr|C5WVZ4|C5WVZ4_SORBI,C5WVZ4,SORBI_01g003770
tr|C5YN29|C5YN29_SORBI,C5YN29,SORBI_07g003070
tr|C5YGY2|C5YGY2_SORBI,C5YGY2,SORBI_07g003620
tr|C5Y7Z5|C5Y7Z5_SORBI,C5Y7Z5,SORBI_05g026740
tr|C5XS52|C5XS52_SORBI,C5XS52,SORBI_04g033560
tr|C5YNV3|C5YNV3_SORBI,C5YNV3,SORBI_08g015410
tr|C5WR47|C5WR47_SORBI,C5WR47,SORBI_01g013320
tr|C5X966|C5X966_SORBI,C5X966,SORBI_02g033620
tr|C5Z0A1|C5Z0A1_SORBI,C5Z0A1,SORBI_09g024210
tr|C5WT44|C5WT44_SORBI,C5WT44,SORBI_01g014720
tr|C5Y9Y1|C5Y9Y1_SORBI,C5Y9Y1,SORBI_06g031820
tr|C5YGP8|C5YGP8_SORBI,C5YGP8,SORBI_06g029820
tr|C5YHF4|C5YHF4_SORBI,C5YHF4,SORBI_07g004260
sp|A1E9U1|PSBE_SORBI,A1E9U1,SobiCp039
tr|C5Z6S5|C5Z6S5_SORBI,C5Z6S5,SORBI_10g025520
tr|C5YDV6|C5YDV6_SORBI,C5YDV6,SORBI_06g009000
tr|C5YYX3|C5YYX3_SORBI,C5YYX3,SORBI_09g001700
